EmpID,EmpFirst,EmpLast,WarehouseID,SSN,DOB,StartDate,EndDate,Address,City,State,Zip,PositionID,Memo,Phone,Cell,Salary,HourlyRate,Review
1,David,Bowers,WA-01,154003785,9/12/1985,1/22/1998,,10124 Metropolitan Drive,Seattle,WA,98117,1,,2062465132,2065754321,72000,,
2,Robert,Iko,WA-01,705246513,12/16/1994,12/15/2006,,698 Round Mountain,Seattle,WA,98124,7,,2065472315,2064875312,59500,,6/15/2007
3,Virginia,Sanchez,WA-01,724568132,10/24/1988,6/10/2004,,201 River Road,Spokane,WA,99215,2,Emergency contact for alarm company,5093451687,5096348732,48500,,12/15/2007
4,Eric,Behrens,WY-01,956346120,2/14/1995,9/12/2005,2/15/2006,21 Adrian Way,Jackson Hole,WY,83005,3,,3075461272,3075763154,,12.5,
7,Brian,Castillo,OR-01,923546124,8/14/1990,6/14/2001,,52 Denton Drive #49,Portland,OR,97205,3,,5035742742,5035647154,,12.75,6/14/2008
8,Cynthia,Cox,OR-01,854230000,10/6/1985,12/30/2006,,1515 Patterson Road,Portland,OR,97210,2,,5032412423,5035496113,50000,,6/30/2007
9,John,Maestas,WA-01,487002468,11/24/1995,11/15/2001,,5506 Beach Street West,Spokane,WA,99216,4,Speaks fluent Spanish,5096741543,5093782312,42500,,11/1/2007
10,Mark,Cumberland,OR-01,705435126,7/30/1996,10/1/2002,3/15/2006,16542 Angus Road #280,Portland,OR,97206,6,,5032486453,5032786424,,12.25,
11,Darnell,Colmenero,WA-01,723549785,4/5/1997,9/2/2002,,6000 Balcones Drive,Seattle,WA,98113,3,,2063475354,2063547215,,15,9/15/2008
12,James,Lu,WY-01,709564321,12/31/1999,2/24/2005,,5003 Mallard Avenue #587,Jackson Hole,WY,83001,2,Speaks fluent Chinese,3076784513,3072468732,48500,,2/24/2007
13,Barry,Orosco,WA-01,723246875,7/4/1989,3/21/2006,5/15/2006,2001 Kenosha Pass,Spokane,WA,99216,5,,5093451357,5093575166,,9.75,
14,Richard,Hargadon,WA-01,984651372,3/1/1991,7/15/2006,,901 Great Oaks Cove,Seattle,WA,98154,6,,2063547987,2063541287,,10.5,8/15/2007
